Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),m^2 land use/kg product,Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,m^2 land use/kg product / 100g,GHG Only Label,Combined Label,RED,YELLOW,GREEN
,,R-30406,G&G|Croissant|Multigrain|OK ,OK - GRAB & GO,120.00000000000048,182.70000000000073,1.7760000000000074,586.8000000000023,50.3,1538.6,152.25,1.48,41.92,1282.17,489.0,Green,Yellow,,TRUE,
,,R-30041,GRL|Bacon,OK - GRILL KITCHEN BREAKFAST,20.0,560.3955,7.569600000000001,1198.1399999999999,103.19,3091.83,2801.98,37.85,515.95,15459.15,5990.7,Red,Red,TRUE,,
,,R-28280,GRL|Breakfast Entree,OK - GRILL KITCHEN BREAKFAST,925.0000187500093,2929.114215551877,40.83257464643395,3477.005748522334,347.08,14440.18,316.66,4.41,37.52,1561.1,375.89,Yellow,Yellow,,TRUE,
,,R-50368,GRL|BreakfastCroissant,OK - GRILL KITCHEN BREAKFAST,314.25000028000045,1123.8546583645275,14.210824236283475,2116.8755336930753,203.28,7154.14,357.63,4.52,64.69,2276.58,673.63,Yellow,Red,TRUE,,
,,R-49805,GRL|Burrito|Lumberjack,OK - GRILL BRUNCH,398.00000000000017,1709.9096434427083,24.209096192699118,3569.488548823514,307.72,9242.77,429.63,6.08,77.32,2322.3,896.86,Red,Red,TRUE,,
,,R-50498,GRL|Crepe|Apple Cinnamon,OK - GRILL KITCHEN BREAKFAST,520.0000000000014,619.4690180645183,5.629725000000021,1876.6845161290391,162.86,4727.1,119.13,1.08,31.32,909.06,360.9,Green,Green,,,TRUE
Grill AM , Ham and swiss crepe,R-51146,GRL|Crepe|Ham and Swiss,OK - GRILL BRUNCH,497.00000084000146,1574.2851408180718,17.61267614598768,3698.81665765948,329.11,11397.1,316.76,3.54,66.22,2293.18,744.23,Yellow,Red,TRUE,,
Grill AM , Banana Nutella Crepe,R-50569,GRL|Crepe|Nutella Banana,OK - GRILL KITCHEN BREAKFAST,570.0000000000014,1286.8434119106723,5.882538461538482,6190.156823821348,152.6,4633.9,225.76,1.03,26.77,812.96,1085.99,Yellow,Yellow,,TRUE,
Grill AM , Peach crepe,R-50570,GRL|Crepe|Rosemary Peach,OK - GRILL BRUNCH,520.0000000000014,600.7777580645184,5.5831818181818385,1845.1508797654028,151.39,4618.4,115.53,1.07,29.11,888.15,354.84,Green,Green,,,TRUE
,,R-37340,GRL|Egg Any Style,OK - GRILL KITCHEN BREAKFAST,50.0,223.19008845996797,3.672354240089942,426.94165261389395,37.99,1117.29,446.38,7.34,75.98,2234.58,853.88,Red,Red,TRUE,,
