invoice_counter,invoice_num,invoice_total,item_num,qty,line_amount,adj_line_amount,uom,unit_cost,item_descrip,invoice_date,supplier_name,store_num,type_bill_credit,cost_over_ride,line_amount_qty,case_uom,supplier_num,prod_group_num,prod_group_descrip,order_code,compute_0022,pak_qty,case_qty,purchase_uom,cat_num,cat_descrip,has_credit,credit_pak_amount,Food Category,Category ID
252033,M123033004,-172,69025,-59,-123.9,-123.9,each,2.1,candied cinnamon almond,2023-04-02,K & K FOOD SERVICE,78,C,N,-59,each,34,21,CANDIES SNACKS,KK051094,N,1,1,each,7,Candy ,N,0,sugars and sweeteners,43
252099,252099,153.3,69025,15,31.5,31.5,each,2.1,candied cinnamon almond,2023-04-19,STORE: Hero  CC00553,81,T,N,15,each,232,21,CANDIES SNACKS,KK051094,N,1,1,each,7,Candy ,N,0,sugars and sweeteners,43
252100,252099,-153.3,69025,-15,-31.5,-31.5,each,2.1,candied cinnamon almond,2023-04-19,STORE: Orchard Commons Dining Room,82,F,N,-15,each,231,21,CANDIES SNACKS,KK051094,N,1,1,each,7,Candy ,N,0,sugars and sweeteners,43
252099,252099,153.3,68933,14,29.4,29.4,each,2.1,candied coconut almo,2023-04-19,STORE: Hero  CC00553,81,T,N,14,each,232,21,CANDIES SNACKS,KK051093,N,1,1,each,7,Candy ,N,0,sugars and sweeteners,43
252100,252099,-153.3,68933,-14,-29.4,-29.4,each,2.1,candied coconut almo,2023-04-19,STORE: Orchard Commons Dining Room,82,F,N,-14,each,231,21,CANDIES SNACKS,KK051093,N,1,1,each,7,Candy ,N,0,sugars and sweeteners,43
252099,252099,153.3,68932,12,25.2,25.2,each,2.1,candied coconut cash,2023-04-19,STORE: Hero  CC00553,81,T,N,12,each,232,21,CANDIES SNACKS,KK052116,N,1,1,each,7,Candy ,N,0,sugars and sweeteners,43
252100,252099,-153.3,68932,-12,-25.2,-25.2,each,2.1,candied coconut cash,2023-04-19,STORE: Orchard Commons Dining Room,82,F,N,-12,each,231,21,CANDIES SNACKS,KK052116,N,1,1,each,7,Candy ,N,0,sugars and sweeteners,43
252099,252099,153.3,68934,14,29.4,29.4,each,2.1,candied irish cream,2023-04-19,STORE: Hero  CC00553,81,T,N,14,each,232,21,CANDIES SNACKS,KK051095,N,1,1,each,7,Candy ,N,0,cream,8
252100,252099,-153.3,68934,-14,-29.4,-29.4,each,2.1,candied irish cream,2023-04-19,STORE: Orchard Commons Dining Room,82,F,N,-14,each,231,21,CANDIES SNACKS,KK051095,N,1,1,each,7,Candy ,N,0,cream,8
252099,252099,153.3,68931,18,37.8,37.8,each,2.1,candied salt caramel,2023-04-19,STORE: Hero  CC00553,81,T,N,18,each,232,21,CANDIES SNACKS,KK052117,N,1,1,each,7,Candy ,N,0,sugars and sweeteners,43
252100,252099,-153.3,68931,-18,-37.8,-37.8,each,2.1,candied salt caramel,2023-04-19,STORE: Orchard Commons Dining Room,82,F,N,-18,each,231,21,CANDIES SNACKS,KK052117,N,1,1,each,7,Candy ,N,0,sugars and sweeteners,43
248505,9001133184,903.53,63023,3,31.26,31.26,CA,10.42,chip pringle sour crm,2023-03-08,GORDON FOOD SERVICE (GFS),82,B,N,120,each,26,21,CANDIES SNACKS,1215008,N,1,40,CA,7,Candy ,N,0,potatoes,41
249922,9001216311,490.44,63023,3,31.26,31.26,CA,10.42,chip pringle sour crm,2023-03-17,GORDON FOOD SERVICE (GFS),82,B,N,120,each,26,21,CANDIES SNACKS,1215008,N,1,40,CA,7,Candy ,N,0,potatoes,41
248505,9001133184,903.53,63024,2,20.84,20.84,CA,10.42,chip pringles bbq,2023-03-08,GORDON FOOD SERVICE (GFS),82,B,N,80,each,26,21,CANDIES SNACKS,1242780,N,1,40,CA,7,Candy ,N,0,potatoes,41
249922,9001216311,490.44,63024,2,20.84,20.84,CA,10.42,chip pringles bbq,2023-03-17,GORDON FOOD SERVICE (GFS),82,B,N,80,each,26,21,CANDIES SNACKS,1242780,N,1,40,CA,7,Candy ,N,0,potatoes,41
247693,92288,918.73,2937,1,71.59,71.59,cs,71.59,savioardi (lady fingers) ,2023-03-02,CIOFFI'S MEAT MARKET AND DELI,5,B,N,6000,pak,13,21,CANDIES SNACKS,WS1354,N,400,15,cs,7,Candy ,N,0,sugars and sweeteners,43
248067,92544,899.78,2937,1,71.59,71.59,cs,71.59,savioardi (lady fingers) ,2023-03-06,CIOFFI'S MEAT MARKET AND DELI,5,B,N,6000,pak,13,21,CANDIES SNACKS,WS1354,N,400,15,cs,7,Candy ,N,0,sugars and sweeteners,43
248864,93029,1188.56,2937,1,71.59,71.59,cs,71.59,savioardi (lady fingers) ,2023-03-10,CIOFFI'S MEAT MARKET AND DELI,5,B,N,6000,pak,13,21,CANDIES SNACKS,WS1354,N,400,15,cs,7,Candy ,N,0,sugars and sweeteners,43
248867,93277,653.77,2937,1,71.59,71.59,cs,71.59,savioardi (lady fingers) ,2023-03-14,CIOFFI'S MEAT MARKET AND DELI,5,B,N,6000,pak,13,21,CANDIES SNACKS,WS1354,N,400,15,cs,7,Candy ,N,0,sugars and sweeteners,43
250772,94554,688.92,2937,2,143.18,143.18,cs,71.59,savioardi (lady fingers) ,2023-03-29,CIOFFI'S MEAT MARKET AND DELI,5,B,N,12000,pak,13,21,CANDIES SNACKS,WS1354,N,400,15,cs,7,Candy ,N,0,sugars and sweeteners,43
251685,94937,713.64,2937,1,71.59,71.59,cs,71.59,savioardi (lady fingers) ,2023-04-03,CIOFFI'S MEAT MARKET AND DELI,5,B,N,6000,pak,13,21,CANDIES SNACKS,WS1354,N,400,15,cs,7,Candy ,N,0,sugars and sweeteners,43
252146,95927,1355.83,2937,1,71.59,71.59,cs,71.59,savioardi (lady fingers) ,2023-04-14,CIOFFI'S MEAT MARKET AND DELI,5,B,N,6000,pak,13,21,CANDIES SNACKS,WS1354,N,400,15,cs,7,Candy ,N,0,sugars and sweeteners,43
252145,96053,930.44,2937,1,71.59,71.59,cs,71.59,savioardi (lady fingers) ,2023-04-17,CIOFFI'S MEAT MARKET AND DELI,5,B,N,6000,pak,13,21,CANDIES SNACKS,WS1354,N,400,15,cs,7,Candy ,N,0,sugars and sweeteners,43
252732,96536,724.06,2937,1,71.59,71.59,cs,71.59,savioardi (lady fingers) ,2023-04-21,CIOFFI'S MEAT MARKET AND DELI,5,B,N,6000,pak,13,21,CANDIES SNACKS,WS1354,N,400,15,cs,7,Candy ,N,0,sugars and sweeteners,43
247874,9001070944,8370.49,62911,1,72.18,72.18,cs,72.18,bar brownie triple choc chuck ,2023-03-01,GORDON FOOD SERVICE (GFS),51,B,N,2,SHEET,26,19,BAKED GOODS,6999005,N,1,2,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24
247877,9001094408,7899.82,62911,1,72.18,72.18,cs,72.18,bar brownie triple choc chuck ,2023-03-03,GORDON FOOD SERVICE (GFS),51,B,N,2,SHEET,26,19,BAKED GOODS,6999005,N,1,2,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24
247973,9001094224,8190.64,62911,1,72.18,72.18,cs,72.18,bar brownie triple choc chuck ,2023-03-03,GORDON FOOD SERVICE (GFS),9,B,N,2,SHEET,26,19,BAKED GOODS,6999005,N,1,2,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24
248381,9001112003,5367.66,62911,1,72.18,72.18,cs,72.18,bar brownie triple choc chuck ,2023-03-06,GORDON FOOD SERVICE (GFS),51,B,N,2,SHEET,26,19,BAKED GOODS,6999005,N,1,2,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24
248382,9001123405,5194.95,62911,1,72.18,72.18,cs,72.18,bar brownie triple choc chuck ,2023-03-07,GORDON FOOD SERVICE (GFS),51,B,N,2,SHEET,26,19,BAKED GOODS,6999005,N,1,2,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24
248383,9001132129,4406.91,62911,1,72.18,72.18,cs,72.18,bar brownie triple choc chuck ,2023-03-08,GORDON FOOD SERVICE (GFS),51,B,N,2,SHEET,26,19,BAKED GOODS,6999005,N,1,2,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24
248840,9001133189,7045.4,62911,4,288.72,288.72,cs,72.18,bar brownie triple choc chuck ,2023-03-08,GORDON FOOD SERVICE (GFS),81,B,N,8,SHEET,26,19,BAKED GOODS,6999005,N,1,2,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24
248666,9001155888,8612.47,62911,1,72.18,72.18,cs,72.18,bar brownie triple choc chuck ,2023-03-10,GORDON FOOD SERVICE (GFS),9,B,N,2,SHEET,26,19,BAKED GOODS,6999005,N,1,2,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24
248857,9001173820,10187.78,62911,2,144.36,144.36,cs,72.18,bar brownie triple choc chuck ,2023-03-13,GORDON FOOD SERVICE (GFS),81,B,N,4,SHEET,26,19,BAKED GOODS,6999005,N,1,2,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24
248743,9001173806,5496.54,62911,1,72.18,72.18,cs,72.18,bar brownie triple choc chuck ,2023-03-13,GORDON FOOD SERVICE (GFS),9,B,N,2,SHEET,26,19,BAKED GOODS,6999005,N,1,2,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24
248997,9001185341,7931.74,62911,1,72.18,72.18,cs,72.18,bar brownie triple choc chuck ,2023-03-14,GORDON FOOD SERVICE (GFS),9,B,N,2,SHEET,26,19,BAKED GOODS,6999005,N,1,2,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24
