invoice_counter,invoice_num,invoice_total,item_num,qty,line_amount,adj_line_amount,uom,unit_cost,item_descrip,invoice_date,supplier_name,store_num,type_bill_credit,cost_over_ride,line_amount_qty,case_uom,supplier_num,prod_group_num,prod_group_descrip,order_code,compute_0022,pak_qty,case_qty,purchase_uom,cat_num,cat_descrip,has_credit,credit_pak_amount,Items_assign_category_ID,Category ID
249028,71995351,1364.86,I-53518,3.0,86.67,86.67,SHEET,28.89,BROWNIE TIGER,2023-03-13,SNOW CAP ENTERPRISES LTD.,51,B,N,3.0,SHEET,54,19,BAKED GOODS,OC33,N,1.0,1.0,cs,2,Food,N,0,,24.0
248562,365081,737.7,I-64920,2.0,84.0,84.0,DOZ,42.0,CAKE CARROT,2023-03-11,Trump food,82,B,N,24.0,each,253,19,BAKED GOODS,602,N,1.0,12.0,DOZ,2,Food,N,0,,24.0
249456,26207,226.44,I-1284,1.0,32.96,32.96,CA,32.96,DATE SQUARE GF,2023-03-15,WENDEL'S TRUE FOODS,27,B,Y,12.0,each,60,19,BAKED GOODS,2225RTC,N,1.0,12.0,CA,2,Food,Y,0,,24.0
251903,9001459647,6270.89,I-1086,4.0,218.56,218.56,cs,54.64,COOKIE DOUGH CHOC CHIP N/HYDRO,2023-04-13,GORDON FOOD SERVICE (GFS),51,B,Y,512.0,CT,26,20,BAKING-RAW INGREDIENTS,3554805,N,1.0,128.0,cs,2,Food,Y,0,,24.0
250598,72004170,1143.2,I-40947,1.0,56.8,56.8,cs,56.8,LADY FINGERS 15/400GM,2023-03-28,SNOW CAP ENTERPRISES LTD.,83,B,Y,15.0,each,54,20,BAKING-RAW INGREDIENTS,LF3,N,400.0,15.0,cs,2,Food,Y,0,,24.0
249752,9001238074,2475.89,I-64431,1.0,31.38,31.38,CA,31.38,CORE POWER STRAW 414ML,2023-03-20,GORDON FOOD SERVICE (GFS),88,B,N,12.0,414ML,26,2,BEVERAGE,1423924,N,1.0,12.0,CA,2,Food,N,0,,55.0
248072,3192768230,740.23,I-61326,1.0,20.3,20.3,cs,20.3,ICED TEA PEACE STRAW LEMN LOVE,2023-03-02,COCA-COLA BOTTLING CO.,79,B,N,12.0,bottle,14,2,BEVERAGE,1411409,N,1.0,12.0,cs,2,Food,N,0,,55.0
248964,INV1215107,236.08,I-13756,2.0,25.42,25.42,750ML,12.71,SYRUP MONIN CARAMEL,2023-03-13,BRUCE AND CLARK FOOD SERVICE,5,B,Y,1.5,750ML,6,2,BEVERAGE,MONSY-CARAMEL,N,0.75,1.0,750ML,2,Food,Y,0,,43.0
248964,INV1215107,236.08,I-6037,4.0,50.84,50.84,bottle,12.71,SYRUP MONIN HAZELNUT,2023-03-13,BRUCE AND CLARK FOOD SERVICE,5,B,Y,3.0,750ML,6,2,BEVERAGE,MONSY-HAZELNUT,N,0.75,1.0,bottle,2,Food,Y,0,,43.0
252207,INV1215570,1198.68,I-1577,6.0,76.26,76.26,750ML,12.71,SYRUP MONIN LEMON,2023-04-05,BRUCE AND CLARK FOOD SERVICE,81,B,N,6.0,750ML,6,2,BEVERAGE,MONSY-LEMON,N,1.0,1.0,750ML,2,Food,N,0,,43.0
252207,INV1215570,1198.68,I-70670,6.0,76.26,76.26,750ML,12.71,SYRUP MONIN PASSIONFRUIT 750ML,2023-04-05,BRUCE AND CLARK FOOD SERVICE,81,B,N,6.0,750ML,6,2,BEVERAGE,MONSY-PASSIONFRUIT,N,1.0,1.0,750ML,2,Food,N,0,,43.0
250449,INV1215307,152.52,I-68805,12.0,152.52,152.52,cs,12.71,SYRUP MONIN PEACH SF,2023-03-23,BRUCE AND CLARK FOOD SERVICE,81,B,Y,108000.0,bottle,6,2,BEVERAGE,MONSYSF-PEACH,N,750.0,12.0,cs,2,Food,N,0,,43.0
252207,INV1215570,1198.68,I-70669,6.0,76.26,76.26,750ML,12.71,SYRUP MONIN PINEAPPLE 750ML,2023-04-05,BRUCE AND CLARK FOOD SERVICE,81,B,N,6.0,750ML,6,2,BEVERAGE,MONSY-PINEAPPLE,N,1.0,1.0,750ML,2,Food,N,0,,43.0
252207,INV1215570,1198.68,I-1583,6.0,76.26,76.26,750ML,12.71,SYRUP MONIN STRAWBERRY,2023-04-05,BRUCE AND CLARK FOOD SERVICE,81,B,N,6.0,750ML,6,2,BEVERAGE,MONSY-STRAWBERRY,N,1.0,1.0,750ML,2,Food,N,0,,43.0
252688,3196410544,754.7,I-13275,1.0,20.22,20.22,cs,20.22,WATER VITAMIN ZERO RISE,2023-04-13,COCA-COLA BOTTLING CO.,78,B,N,12.0,591ML,14,2,BEVERAGE,1300384,N,1.0,12.0,cs,2,Food,N,0,,55.0
252524,9001502072,430.47,I-22490,1.0,52.33,52.33,cs,52.33,FLATBREAD OVEAL 5X12.5 FZN,2023-04-18,GORDON FOOD SERVICE (GFS),27,B,Y,48.0,ea,26,11,BREAD,1222373,N,1.0,48.0,cs,2,Food,Y,0,,24.0
251674,1061824518,131.42,I-2071,6.0,51.42,51.42,4L,8.57,MILK 2% (4/4LT)MEADOWFRESH,2023-04-04,FRESH POINT,5,B,Y,24.0,4L,23,9,DAIRY,0504420,N,4.0,4.0,cs,2,Food,N,0,,9.0
250526,6881010358,421.33,I-2193,1.0,5.64,5.64,bag,5.64,MILKETTES 2% 160X9ML,2023-03-22,SAPUTO DAIRY PRODUCTS,27,B,N,160.0,bag,52,9,DAIRY,130375,N,160.0,1.0,bag,2,Food,N,0,,9.0
249480,2036658,733.2,I-19986,1.0,47.0,47.0,cs,47.0,GINGER SUSHI,2023-03-06,WISMETTAC ASIAN FOODS,16,B,Y,11325.0,Kg,125,16,FOOD - GROCERY,2201026,N,1.0,9.0,cs,2,Food,N,0,,38.0
250214,72002378,424.6,I-68801,1.0,105.88,105.88,cs,105.88,JAM STRAWBERRY 14kg,2023-03-24,SNOW CAP ENTERPRISES LTD.,51,B,Y,14.0,Kg,54,16,FOOD - GROCERY,SBF14870,N,1.0,14.0,cs,2,Food,Y,0,,34.0
248362,9001094414,7971.34,I-3332,2.0,31.62,31.62,cs,15.81,JELLY POWDER ORANGE TFC,2023-03-03,GORDON FOOD SERVICE (GFS),81,B,N,4.0,Kg,26,16,FOOD - GROCERY,1198639,N,1.0,2.0,cs,2,Food,N,0,,54.0
251765,9001416314,979.0,I-3338,1.0,44.64,44.64,cs,44.64,KETCHUP PORT,2023-04-08,GORDON FOOD SERVICE (GFS),2,B,N,1000.0,PTN,26,16,FOOD - GROCERY,3400777,N,1.0,1000.0,cs,2,Food,N,0,,58.0
251526,9001398786,5197.88,I-33576,1.0,119.9,119.9,cs,119.9,NUT PECAN PIECES,2023-04-06,GORDON FOOD SERVICE (GFS),81,B,Y,105.6,Kg,26,16,FOOD - GROCERY,7132405,N,35.2,3.0,cs,2,Food,Y,0,,26.0
249646,9001216334,8903.72,I-3380,1.0,297.62,297.62,cs,297.62,NUT PINE TFC,2023-03-17,GORDON FOOD SERVICE (GFS),81,B,Y,3.0,Kg,26,16,FOOD - GROCERY,6361405,N,1.0,3.0,cs,2,Food,N,0,,26.0
249089,71996424,1302.76,I-19567,1.0,48.75,48.75,PL,48.75,PEANUT BUTTER NATURAL TFC,2023-03-14,SNOW CAP ENTERPRISES LTD.,83,B,N,10.0,Kg,54,16,FOOD - GROCERY,3301517,N,1.0,10.0,cs,2,Food,N,0,,5.0
249503,9001238099,1020.34,I-3567,1.0,61.99,61.99,cs,61.99,SAUCE TABASCO HOT PPR JALAP,2023-03-20,GORDON FOOD SERVICE (GFS),5,B,N,1704.0,bottle,26,16,FOOD - GROCERY,3464767,N,142.0,12.0,cs,2,Food,N,0,,58.0
248126,9001081628,504.98,I-2716,1.0,49.03,49.03,cs,49.03,SOUP CHOWDER CLAM BOSTON,2023-03-02,GORDON FOOD SERVICE (GFS),27,B,N,5.43,BLOCK,26,16,FOOD - GROCERY,5909605,N,1.81,3.0,cs,2,Food,N,0,,40.0
250390,2043233,5728.31,I-11587,8.0,75.6,75.6,each,9.45,WAKAME CUT ,2023-03-16,WISMETTAC ASIAN FOODS,36,B,N,128.0,CT,125,16,FOOD - GROCERY,49004,N,16.0,1.0,CT,2,Food,N,0,,40.0
251366,0000869048,698.83,I-64225,8.0,55.6,55.6,ea,6.95,HT CANDY BAR,2023-04-05,TRANSCOLD DISTRIBUTION LTD.,82,B,N,8.0,ea,57,28,ICECREAM/NOVELTY/GELATO,HT100806,N,1.0,1.0,ea,2,Food,N,0,,24.0
247794,0000860981,640.45,I-64525,8.0,55.6,55.6,ea,6.95,HT MINT CHIP,2023-03-01,TRANSCOLD DISTRIBUTION LTD.,82,B,N,8.0,ea,57,28,ICECREAM/NOVELTY/GELATO,HT100808,N,1.0,1.0,ea,2,Food,N,0,,41.0
251366,0000869048,698.83,I-64228,8.0,55.6,55.6,ea,6.95,HT SEA SALT CARAMEL,2023-04-05,TRANSCOLD DISTRIBUTION LTD.,82,B,N,8.0,ea,57,28,ICECREAM/NOVELTY/GELATO,HT100804,N,1.0,1.0,ea,2,Food,N,0,,56.0
251629,0000869104,968.35,I-70666,4.0,192.0,192.0,TUB,48.0,ICE CREAM CHOC.CH DOUGH 11.4L,2023-04-05,TRANSCOLD DISTRIBUTION LTD.,81,B,Y,45.6,TUB,57,28,ICECREAM/NOVELTY/GELATO,IF606173,N,11.4,1.0,TUB,2,Food,N,0,,24.0
251629,0000869104,968.35,I-70806,4.0,192.0,192.0,TUB,48.0,ICE CREAM ESPRESSO 11.4L,2023-04-05,TRANSCOLD DISTRIBUTION LTD.,81,B,Y,45.6,TUB,57,28,ICECREAM/NOVELTY/GELATO,IF606112,N,11.4,1.0,TUB,2,Food,N,0,,7.0
250731,0000867149,584.35,I-14305,3.0,144.0,144.0,TUB,48.0,ICE CREAM ROCKY ROAD 11.4 l,2023-03-29,TRANSCOLD DISTRIBUTION LTD.,81,B,Y,34.2,TUB,57,28,ICECREAM/NOVELTY/GELATO,IF606177,N,11.4,1.0,TUB,2,Food,N,0,,7.0
248410,0000860921,1872.55,I-70837,4.0,192.0,192.0,TUB,48.0,ICE CREAM VANILLA 11.4L,2023-03-01,TRANSCOLD DISTRIBUTION LTD.,81,B,Y,45.6,TUB,57,28,ICECREAM/NOVELTY/GELATO,IF606201,N,11.4,1.0,TUB,2,Food,N,0,,7.0
248075,0000860995,505.45,I-65588,8.0,46.9,46.9,pak,5.86,MELONA UBE/PURPLE ,2023-03-01,TRANSCOLD DISTRIBUTION LTD.,79,B,N,64.0,pak,57,28,ICECREAM/NOVELTY/GELATO,M1836671,N,8.0,1.0,pak,2,Food,N,0,,43.0
